"Country","Year","Metrics.State Fragility Index","Metrics.Effectiveness.Economic Effectiveness","Metrics.Effectiveness.Effectiveness Score","Metrics.Effectiveness.Political Effectiveness","Metrics.Effectiveness.Security Effectiveness","Metrics.Effectiveness.Social Effectiveness","Metrics.Legitimacy.Economic Legitimacy","Metrics.Legitimacy.Legitimacy Score","Metrics.Legitimacy.Political Legitimacy","Metrics.Legitimacy.Security Legitimacy","Metrics.Legitimacy.Social Legitimacy"
"Afghanistan","1995","25","4","13","3","3","3","3","12","3","3","3"
"Afghanistan","1996","24","4","12","2","3","3","3","12","3","3","3"
"Afghanistan","1997","24","4","12","2","3","3","3","12","3","3","3"
"Afghanistan","1998","24","4","12","2","3","3","3","12","3","3","3"
"Afghanistan","1999","24","4","12","2","3","3","3","12","3","3","3"
"Afghanistan","2000","24","4","12","2","3","3","3","12","3","3","3"
"Afghanistan","2001","24","4","12","2","3","3","3","12","3","3","3"
"Afghanistan","2002","22","4","12","2","3","3","3","10","1","3","3"
"Afghanistan","2003","22","4","12","2","3","3","3","10","1","3","3"
"Afghanistan","2004","22","4","12","2","3","3","3","10","1","3","3"
"Afghanistan","2005","22","4","12","2","3","3","3","10","1","3","3"
"Afghanistan","2006","21","4","12","2","3","3","3","9","0","3","3"
"Afghanistan","2007","22","4","12","2","3","3","3","10","1","3","3"
"Afghanistan","2008","22","4","12","2","3","3","3","10","1","3","3"
"Afghanistan","2009","22","4","12","2","3","3","3","10","1","3","3"
"Afghanistan","2010","22","4","12","2","3","3","3","10","1","3","3"
"Afghanistan","2011","22","4","12","2","3","3","3","10","1","3","3"
"Afghanistan","2012","22","4","12","2","3","3","3","10","1","3","3"
"Afghanistan","2013","21","4","11","2","3","2","3","10","1","3","3"
"Afghanistan","2014","21","4","11","2","3","2","3","10","1","3","3"
"Albania","1995","8","2","4","1","0","1","0","4","1","1","2"
"Albania","1996","8","2","4","1","0","1","0","4","1","1","2"
"Albania","1997","9","2","5","1","1","1","0","4","0","2","2"
"Albania","1998","8","2","6","2","1","1","0","2","0","1","1"
"Albania","1999","7","2","5","2","0","1","0","2","0","1","1"
"Albania","2000","7","2","5","2","0","1","0","2","0","1","1"
"Albania","2001","7","2","5","2","0","1","0","2","0","1","1"
"Albania","2002","7","2","6","2","1","1","0","1","0","1","0"
"Albania","2003","7","2","5","2","0","1","0","2","0","1","1"
"Albania","2004","7","2","5","2","0","1","0","2","0","1","1"
"Albania","2005","5","2","4","2","0","0","0","1","0","1","0"
"Albania","2006","5","2","4","2","0","0","0","1","0","1","0"
"Albania","2007","4","2","3","1","0","0","0","1","0","1","0"
"Albania","2008","3","1","2","1","0","0","0","1","0","1","0"
"Albania","2009","3","1","2","1","0","0","0","1","0","1","0"
"Albania","2010","3","1","2","1","0","0","0","1","0","1","0"
"Albania","2011","3","1","2","1","0","0","0","1","0","1","0"
"Albania","2012","2","1","2","1","0","0","0","0","0","0","0"
"Albania","2013","3","1","2","1","0","0","1","1","0","0","0"
"Albania","2014","2","1","1","0","0","0","1","1","0","0","0"
"Algeria","1995","18","2","8","2","2","2","3","10","3","3","1"
"Algeria","1996","18","2","8","2","2","2","3","10","3","3","1"
"Algeria","1997","18","2","8","2","2","2","3","10","3","3","1"
"Algeria","1998","18","2","8","2","2","2","3","10","3","3","1"
"Algeria","1999","18","2","8","2","2","2","3","10","3","3","1"
"Algeria","2000","18","2","8","2","2","2","3","10","3","3","1"
"Algeria","2001","18","2","8","2","2","2","3","10","3","3","1"
"Algeria","2002","17","2","7","2","2","1","3","10","3","3","1"
"Algeria","2003","17","2","7","2","2","1","3","10","3","3","1"
"Algeria","2004","17","2","7","2","2","1","3","10","3","3","1"
"Algeria","2005","16","1","6","2","2","1","3","10","3","3","1"
"Algeria","2006","16","1","6","2","2","1","3","10","3","3","1"
"Algeria","2007","15","1","5","1","2","1","3","10","3","3","1"
"Algeria","2008","14","1","5","1","2","1","3","9","3","2","1"
"Algeria","2009","13","1","4","1","2","0","3","9","3","2","1"
"Algeria","2010","13","1","4","1","2","0","3","9","3","2","1"
"Algeria","2011","13","1","4","1","2","0","3","9","3","2","1"
"Algeria","2012","14","1","5","2","2","0","3","9","3","2","1"
"Algeria","2013","14","1","5","2","2","0","3","9","3","2","1"
"Algeria","2014","12","1","4","1","2","0","3","8","3","1","1"
"Angola","1995","23","3","11","2","3","3","3","12","3","3","3"
"Angola","1996","23","3","11","2","3","3","3","12","3","3","3"
"Angola","1997","22","3","11","2","3","3","2","11","3","3","3"
"Angola","1998","21","2","10","2","3","3","2","11","3","3","3"
"Angola","1999","21","2","10","2","3","3","2","11","3","3","3"
"Angola","2000","22","2","10","2","3","3","3","12","3","3","3"
"Angola","2001","22","2","10","2","3","3","3","12","3","3","3"
"Angola","2002","20","2","10","2","3","3","3","10","2","2","3"
"Angola","2003","20","2","10","2","3","3","3","10","1","3","3"
"Angola","2004","20","2","10","2","3","3","3","10","1","3","3"
"Angola","2005","19","2","10","2","3","3","3","9","1","2","3"
"Angola","2006","19","2","10","2","3","3","3","9","1","2","3"
"Angola","2007","17","2","8","1","3","2","3","9","1","2","3"
"Angola","2008","17","2","8","1","3","2","3","9","1","2","3"
"Angola","2009","17","2","8","1","3","2","3","9","1","2","3"
"Angola","2010","16","2","7","1","2","2","3","9","1","2","3"
"Angola","2011","16","2","7","1","2","2","3","9","1","2","3"
"Angola","2012","16","2","7","1","2","2","3","9","1","2","3"
"Angola","2013","16","2","7","1","2","2","3","9","1","2","3"
"Angola","2014","16","2","7","1","2","2","3","9","1","2","3"
"Argentina","1995","5","1","2","1","0","0","1","3","0","1","1"
"Argentina","1996","5","1","2","1","0","0","1","3","0","1","1"
"Argentina","1997","5","1","2","1","0","0","1","3","0","1","1"
"Argentina","1998","4","1","2","1","0","0","1","2","0","1","0"
"Argentina","1999","4","1","2","1","0","0","1","2","0","1","0"
"Argentina","2000","4","1","2","1","0","0","1","2","0","1","0"
"Argentina","2001","4","1","2","1","0","0","1","2","0","1","0"
"Argentina","2002","4","1","2","1","0","0","1","2","0","1","0"
"Argentina","2003","4","1","2","1","0","0","1","2","0","1","0"
"Argentina","2004","4","1","2","1","0","0","1","2","0","1","0"
"Argentina","2005","2","1","1","0","0","0","1","1","0","0","0"
"Argentina","2006","2","1","1","0","0","0","1","1","0","0","0"
"Argentina","2007","2","1","1","0","0","0","1","1","0","0","0"
"Argentina","2008","2","1","1","0","0","0","1","1","0","0","0"
"Argentina","2009","2","1","1","0","0","0","1","1","0","0","0"
"Argentina","2010","2","1","1","0","0","0","1","1","0","0","0"
"Argentina","2011","3","1","1","0","0","0","1","2","0","1","0"
"Argentina","2012","2","1","1","0","0","0","1","1","0","0","0"
"Argentina","2013","1","0","0","0","0","0","1","1","0","0","0"
"Argentina","2014","1","0","0","0","0","0","1","1","0","0","0"
"Armenia","1995","8","3","7","2","1","1","0","1","1","0","0"
"Armenia","1996","7","3","7","2","1","1","0","0","0","0","0"
"Armenia","1997","8","3","7","2","1","1","0","1","0","1","0"
"Armenia","1998","8","3","7","2","1","1","0","1","0","1","0"
"Armenia","1999","8","3","7","2","1","1","0","1","0","1","0"
"Armenia","2000","8","3","7","2","1","1","0","1","0","1","0"
"Armenia","2001","9","3","7","2","1","1","0","2","0","1","1"
"Armenia","2002","7","3","6","2","0","1","0","1","0","1","0"
"Armenia","2003","7","2","5","2","0","1","0","2","1","1","0"
"Armenia","2004","7","2","5","2","0","1","0","2","1","1","0"
"Armenia","2005","7","2","5","2","0","1","0","2","1","1","0"
"Armenia","2006","7","2","4","2","0","0","0","3","1","1","1"
"Armenia","2007","6","2","4","2","0","0","0","2","0","1","1"
"Armenia","2008","6","2","3","1","0","0","0","3","1","1","1"
"Armenia","2009","7","2","3","1","0","0","1","4","1","1","1"
"Armenia","2010","7","2","3","1","0","0","2","4","1","1","0"
"Armenia","2011","7","2","3","1","0","0","2","4","1","1","0"
"Armenia","2012","7","2","3","1","0","0","2","4","1","1","0"
"Armenia","2013","7","2","3","1","0","0","2","4","1","1","0"
"Armenia","2014","7","2","3","1","0","0","2","4","1","1","0"
"Australia","1995","2","0","0","0","0","0","2","2","0","0","0"
"Australia","1996","2","0","0","0","0","0","2","2","0","0","0"
"Australia","1997","2","0","0","0","0","0","2","2","0","0","0"
"Australia","1998","2","0","0","0","0","0","2","2","0","0","0"
"Australia","1999","2","0","0","0","0","0","2","2","0","0","0"
"Australia","2000","2","0","0","0","0","0","2","2","0","0","0"
"Australia","2001","1","0","0","0","0","0","1","1","0","0","0"
"Australia","2002","1","0","0","0","0","0","1","1","0","0","0"
"Australia","2003","1","0","0","0","0","0","1","1","0","0","0"
"Australia","2004","2","0","0","0","0","0","2","2","0","0","0"
"Australia","2005","2","0","0","0","0","0","2","2","0","0","0"
"Australia","2006","2","0","0","0","0","0","2","2","0","0","0"
"Australia","2007","2","0","0","0","0","0","2","2","0","0","0"
"Australia","2008","2","0","0","0","0","0","2","2","0","0","0"
"Australia","2009","2","0","0","0","0","0","2","2","0","0","0"
"Australia","2010","2","0","0","0","0","0","2","2","0","0","0"
"Australia","2011","2","0","0","0","0","0","2","2","0","0","0"
"Australia","2012","2","0","0","0","0","0","2","2","0","0","0"
"Australia","2013","2","0","0","0","0","0","2","2","0","0","0"
"Australia","2014","2","0","0","0","0","0","2","2","0","0","0"
"Austria","1995","0","0","0","0","0","0","0","0","0","0","0"
"Austria","1996","0","0","0","0","0","0","0","0","0","0","0"
"Austria","1997","0","0","0","0","0","0","0","0","0","0","0"
"Austria","1998","0","0","0","0","0","0","0","0","0","0","0"
"Austria","1999","0","0","0","0","0","0","0","0","0","0","0"
"Austria","2000","0","0","0","0","0","0","0","0","0","0","0"
"Austria","2001","0","0","0","0","0","0","0","0","0","0","0"
"Austria","2002","0","0","0","0","0","0","0","0","0","0","0"
"Austria","2003","0","0","0","0","0","0","0","0","0","0","0"
"Austria","2004","0","0","0","0","0","0","0","0","0","0","0"
"Austria","2005","0","0","0","0","0","0","0","0","0","0","0"
"Austria","2006","0","0","0","0","0","0","0","0","0","0","0"
"Austria","2007","0","0","0","0","0","0","0","0","0","0","0"
"Austria","2008","0","0","0","0","0","0","0","0","0","0","0"
"Austria","2009","0","0","0","0","0","0","0","0","0","0","0"
